state,starting_pop,max_pop,pop_lost,percent_lost,pop_gained,pop_renovated,percent_renovated,varroa_mites,other_pests,diseases,pesticides,other,unknown,quarter,year
Alabama,8500,8500,1700,20,1600,1300,15,77.5,69.4,0.7,14.6,7.8,6.8,3,2018
Arizona,31000,31000,8000,26,3200,3100,10,52.5,2.3,4.5,3.8,15,27.6,3,2018
Arkansas,29000,29000,2300,8,2600,840,3,29.9,7.8,0.1,17.6,0.5,0.6,3,2018
California,590000,700000,73000,10,63000,141000,20,57.3,6.6,4.5,17.8,12,3.6,3,2018
Colorado,34000,35000,5000,14,1500,5000,14,72.6,16.6,5.6,2.9,8.5,4.5,3,2018
Connecticut,3200,3200,130,4,80,310,10,13,-,-,1.4,2.5,1.2,3,2018
Florida,197000,220000,30000,14,53000,40000,18,35,20.5,4.2,7.6,14.3,9.8,3,2018
Georgia,134000,138000,17000,12,27000,33000,24,49.8,20.4,2.4,27.7,6,7.2,3,2018
Hawaii,16500,16500,1800,11,1700,3000,18,88.3,89.4,0.1,0.1,0.1,-,3,2018
Idaho,82000,101000,14000,14,15000,21000,21,83.6,5.4,14.6,26.5,13.8,5.7,3,2018
Illinois,11000,11000,660,6,700,420,4,21.2,10.6,2.1,5.1,1.5,7,3,2018
Indiana,11500,11500,990,9,520,1200,10,29.5,12.2,1.4,20.6,5,0.5,3,2018
Iowa,56000,57000,3600,6,1200,990,2,29.9,9.8,8.5,0.4,1.9,0.4,3,2018
Kansas,6000,6000,950,16,300,180,3,76.8,51.1,6.6,8,23.7,7.9,3,2018
Kentucky,6500,7000,840,12,300,660,9,47.1,26.5,1.6,1.5,4.5,7.6,3,2018
Louisiana,53000,53000,1900,4,1600,2300,4,31.3,29.9,0.2,1.7,1,1.6,3,2018
Maine,12500,12500,890,7,60,170,1,37,1,1.1,-,3.5,0.5,3,2018
Maryland,7500,7500,360,5,580,680,9,11.7,6,0.3,0.6,1.1,3.8,3,2018
Massachusetts,8000,10000,2200,22,850,730,7,75.9,11.2,10.7,10.1,1.1,10.3,3,2018
Michigan,88000,88000,8000,9,3000,22000,25,92.4,13.8,1.1,23.8,19.5,18.6,3,2018
Minnesota,121000,127000,29000,23,1600,6500,5,44.5,12.4,6,28.4,9.3,8.1,3,2018
Mississippi,16500,16500,2900,18,110,650,4,25.2,8.6,(Z),0.5,7.5,7.2,3,2018
Missouri,10000,10000,540,5,260,410,4,18.2,16.9,1.2,1.2,7.5,1.1,3,2018
Montana,145000,153000,18500,12,3100,22000,14,43.8,18.5,18,6.8,21.8,2.7,3,2018
Nebraska,52000,54000,6500,12,8500,5000,9,24.1,3.2,5.9,6.5,4.3,4,3,2018
New Jersey,14000,14000,320,2,250,220,2,12.3,5.1,0.2,0.1,1,0.4,3,2018
New Mexico,6000,7000,1200,17,3800,1000,14,-,-,-,12.3,0.4,0.2,3,2018
New York,55000,56000,3900,7,3600,3700,7,40.7,20.6,18.6,24.4,22.9,10.2,3,2018
North Carolina,18000,18000,2200,12,2600,2000,11,66,17.9,11.4,8.4,11.4,3.1,3,2018
North Dakota,455000,490000,59000,12,23000,14500,3,52.6,11.5,9.6,10.4,10.9,1.2,3,2018
Ohio,16000,16000,1300,8,1300,2100,13,58.9,40.9,2.6,1.3,11.9,1.2,3,2018
Oklahoma,2100,2100,370,18,20,10,"""(Z)""",59.6,51.1,0.1,23.5,17.2,23.4,3,2018
Oregon,116000,117000,13000,11,3000,49000,42,57.2,2.8,7,45.1,10.7,0.8,3,2018
Pennsylvania,20000,21000,860,4,2900,2300,11,23.5,8.1,1.9,1.6,1.7,2.6,3,2018
South Carolina,9500,11500,1400,12,670,1100,10,76.8,53.4,0.7,32.4,7.6,0.9,3,2018
South Dakota,168000,197000,22000,11,8000,6500,3,54.7,32.9,3.3,8.5,45,1.6,3,2018
Tennessee,9000,9000,900,10,540,1000,11,70.6,53.2,0.7,13.2,5.6,2.1,3,2018
Texas,112000,124000,7500,6,7500,9500,8,18.8,4.4,0.4,6.2,2.8,0.9,3,2018
Utah,30000,30000,4400,15,970,1400,5,34,15.5,0.1,0.2,1,0.7,3,2018
Vermont,7000,7000,90,1,1200,80,1,29.3,4.9,4.3,24.1,0.3,-,3,2018
Virginia,7500,7500,610,8,1000,990,13,39,28.5,2.6,7.7,11.6,1.7,3,2018
Washington,76000,84000,12000,14,7000,3600,4,7.1,0.6,0.6,2.7,9.9,2.8,3,2018
West Virginia,7500,8000,520,7,170,1200,15,57,52.6,0.3,0.3,6.8,2.1,3,2018
Wisconsin,61000,69000,10000,14,2400,3800,6,54.4,32.7,2.6,19.5,6.1,4.3,3,2018
Wyoming,33000,34000,3900,11,1800,3900,11,35.4,2.8,2.2,9,3.3,4,3,2018
Other States ,6490,9990,890,9,480,440,4,22.8,2.4,1.3,2.9,4.9,0.7,3,2018
United States,2958790,"""(X)""",377120,13,263560,420780,14,53.8,15.2,6.4,15.7,13.9,4.7,3,2018
