state,starting_pop,max_pop,pop_lost,percent_lost,pop_gained,pop_renovated,percent_renovated,varroa_mites,other_pests,diseases,pesticides,other,unknown,quarter,year
Alabama,7000,7000,1600,23,570,730,10,15.3,10.9,0.2,3.6,7.5,10.4,1,2017
Arizona,31000,32000,6000,19,2900,-,-,35.6,2.1,3.8,1.7,6.5,2.1,1,2017
Arkansas,18000,20000,3500,18,430,190,1,23.7,13.8,"""(Z)""",0.3,3.6,0.6,1,2017
California,1150000,1440000,172000,12,215000,92000,6,38,12.8,7.6,9.2,6.6,6.3,1,2017
Colorado,9500,21000,1100,5,100,-,-,17,"""(Z)""","""(Z)""",0.9,2.6,0.4,1,2017
Connecticut,3100,3100,380,12,100,110,4,51.5,1.5,-,-,6.1,5.6,1,2017
Florida,260000,265000,30000,11,80000,33000,12,37.6,14.8,1.5,14.2,6.2,17.9,1,2017
Georgia,123000,125000,14000,11,36000,21000,17,35.3,7,0.2,2.6,4.4,1.8,1,2017
Hawaii,13000,13000,190,1,510,50,"""(Z)""",1.2,2.1,0.2,-,0.1,0.1,1,2017
Idaho,95000,99000,8500,9,2000,280,"""(Z)""",74.2,42.3,42.3,21.2,1.7,0.4,1,2017
Illinois,11000,11000,2900,26,3100,150,1,24.3,11.8,0.6,4.2,10.2,7.9,1,2017
Indiana,7000,7500,1900,25,1700,70,1,15.8,8,5.2,4.1,10.4,7.1,1,2017
Iowa,10000,15500,3000,19,70,-,-,33.6,8.3,8.4,12,11.9,11.7,1,2017
Kansas,3800,3800,1000,26,930,380,10,47.1,2.9,-,3.6,16.4,14.3,1,2017
Kentucky,6500,7000,1300,19,950,430,6,31.9,11.5,0.4,3.8,16,7.5,1,2017
Louisiana,44000,47000,2700,6,11000,1900,4,20.5,8.5,0.1,2.2,5.2,2.3,1,2017
Maine,2700,3100,1000,32,100,-,-,23.9,20.9,30.5,8.1,26.3,-,1,2017
Maryland,9000,9000,2100,23,770,260,3,11.3,3.3,1,1,11.9,4.3,1,2017
Massachusetts,3300,3300,1500,45,120,110,3,32,5.6,2.9,4.5,10.5,5.2,1,2017
Michigan,29000,59000,5000,8,600,130,"""(Z)""",7.9,0.3,"""(Z)""",1.9,1.1,3.9,1,2017
Minnesota,27000,41000,3500,9,3300,-,-,2.1,0.4,0.1,1,8.8,5.8,1,2017
Mississippi,31000,68000,2600,4,23000,7500,11,41.7,35.3,"""(Z)""",0.1,0.5,1.4,1,2017
Missouri,6500,7500,1200,16,400,10,"""(Z)""",16.2,15.2,0.5,2.6,5.4,5.3,1,2017
Montana,18500,46000,470,1,3100,6000,13,34,13.6,"""(Z)""",2.3,5.6,0.1,1,2017
Nebraska,7500,13000,750,6,120,-,-,14.9,0.3,0.4,-,2.2,1.2,1,2017
New Jersey,6000,6500,490,8,10,-,-,16.3,0.7,0.3,0.1,0.8,0.6,1,2017
New Mexico,5500,5500,2100,38,3600,-,-,93.9,-,87.4,-,2,-,1,2017
New York,32000,33000,6000,18,520,-,-,20.4,9.4,9.8,4.4,13.2,10.9,1,2017
North Carolina,16000,23000,2500,11,3700,1200,5,34.7,17.4,0.2,1.5,7.2,3.9,1,2017
North Dakota,50000,123000,640,1,1100,10,"""(Z)""",0.8,-,-,-,0.2,0.1,1,2017
Ohio,15500,17500,4400,25,1300,530,3,25.8,11.6,0.6,0.1,5.2,16.5,1,2017
Oklahoma,26000,26000,550,2,9500,1600,6,11.9,1,"""(Z)""",0.1,0.5,0.3,1,2017
Oregon,71000,90000,8000,9,7500,1400,2,28.7,8.5,10.1,9.1,15.4,8.5,1,2017
Pennsylvania,17000,18000,4200,23,810,410,2,21,2.4,0.8,2.9,3.6,7.3,1,2017
South Carolina,17000,17500,1600,9,4700,970,6,12.6,5.3,0.4,1.1,2.7,1.8,1,2017
South Dakota,21000,48000,2700,6,1500,440,1,2.9,-,-,"""(Z)""",0.2,0.3,1,2017
Tennessee,8500,8500,1600,19,1500,160,2,28.6,12.6,0.9,2.4,8.1,7,1,2017
Texas,270000,330000,35000,11,148000,68000,21,36.2,22.5,2,5.1,3.5,3.6,1,2017
Utah,16000,18500,2700,15,2900,60,"""(Z)""",38.7,"""(Z)""",0.1,-,2,0.3,1,2017
Vermont,6500,6500,440,7,-,-,-,6,0.7,2.1,0.2,0.9,2.1,1,2017
Virginia,8000,8000,1400,18,1900,280,4,21.4,12.8,2.8,3.2,7.4,8.4,1,2017
Washington,68000,104000,9000,9,8500,-,-,6.8,0.1,"""(Z)""","""(Z)""",8.1,4.4,1,2017
West Virginia,5500,8000,800,10,450,100,1,15.8,1,0.2,-,11.9,1.3,1,2017
Wisconsin,17000,22000,4400,20,450,70,"""(Z)""",19,1.9,1.1,2,4,10.5,1,2017
Wyoming,6500,17000,3600,21,1300,-,-,0.2,-,0.2,-,0.6,"""(Z)""",1,2017
United States,2615590,"""(X)""",361850,14,586240,239580,9,42.2,15.6,7.1,8.9,7.2,7.4,1,2017
