state,starting_pop,max_pop,pop_lost,percent_lost,pop_gained,pop_renovated,percent_renovated,varroa_mites,other_pests,diseases,pesticides,other,unknown,quarter,year
Alabama,7500,7500,820,11,1200,1500,20,29.2,30.2,1.9,14.9,8.6,4.5,1,2018
Arizona,25000,26000,6000,23,810,230,1,36.3,4.3,4.6,15.3,7.9,4.2,1,2018
Arkansas,22000,22000,7500,34,540,810,4,21.1,9.6,1,23,4.6,13.9,1,2018
California,1150000,1540000,215000,14,205000,133000,9,41.3,11.3,4.8,11.5,8,4.9,1,2018
Colorado,13000,21000,4900,23,1400,190,1,31.7,0.8,3.8,0.5,13.7,2.4,1,2018
Connecticut,2900,2900,140,5,220,330,11,14.5,0.7,-,0.8,7.7,3.5,1,2018
Florida,245000,255000,39000,15,57000,38000,15,31.7,15.3,4.5,9.2,5.5,16,1,2018
Georgia,134000,139000,25000,18,29000,39000,28,39.6,18.7,0.9,14.8,27.1,2.1,1,2018
Hawaii,17000,17000,1600,9,1200,5000,29,83,84.5,0.1,-,0.1,"""(Z)""",1,2018
Idaho,164000,168000,22000,13,2500,2600,2,28.3,5.7,0.8,3.4,3.4,0.4,1,2018
Illinois,10500,10500,2400,23,1000,630,6,25.7,11.2,3.6,3.5,10.4,10.9,1,2018
Indiana,7000,8000,1000,13,300,30,"""(Z)""",33.4,8.3,3,0.5,9.9,3.7,1,2018
Iowa,41000,44000,2100,5,270,110,"""(Z)""",5.3,1.1,0.3,0.6,0.6,1.4,1,2018
Kansas,3700,3700,950,26,370,410,11,63,20.3,1,4.3,27.9,9.1,1,2018
Kentucky,5500,5500,1200,22,760,20,"""(Z)""",43,29.6,0.9,11,8,5.9,1,2018
Louisiana,50000,52000,3600,7,4100,320,1,4.9,0.7,0.2,0.7,4.5,1.6,1,2018
Maine,1900,1900,410,22,20,30,2,23.6,0.6,0.2,-,5.2,7.4,1,2018
Maryland,8000,8000,1600,20,400,190,2,18.2,5.6,4.4,1.5,14.3,3.1,1,2018
Massachusetts,3700,3700,1000,27,240,290,8,19.6,1.1,0.8,0.8,9.6,7.4,1,2018
Michigan,16500,37000,7000,19,4000,3900,11,21.4,3.5,0.7,7.4,12,5.9,1,2018
Minnesota,39000,62000,3900,6,8000,2900,5,2,0.7,1.9,0.6,1.1,1.6,1,2018
Mississippi,19000,32000,2000,6,28000,5500,17,7,4.8,"""(Z)""",0.6,2.4,34.4,1,2018
Missouri,8000,8000,1400,18,1400,50,"""(Z)""",86,77.8,0.3,3.5,26.5,23.9,1,2018
Montana,35000,60000,140,"""(Z)""",840,-,-,28.9,"""(Z)""","""(Z)""",26.1,0.1,0.1,1,2018
Nebraska,6500,14000,430,3,-,-,-,4.5,1.6,-,2.8,1.7,0.9,1,2018
New Jersey,6500,6500,730,11,180,190,3,14.9,1.9,-,0.4,3.8,0.8,1,2018
New Mexico,7500,7500,3900,52,180,-,-,42.8,0.5,-,1.3,9.4,0.5,1,2018
New York,26000,26000,3700,14,400,170,1,25.3,11.9,1.4,1.9,8,6,1,2018
North Carolina,18500,18500,4200,23,2400,260,1,29.7,10.2,0.3,0.3,13.4,8,1,2018
North Dakota,66000,101000,3200,3,2600,10,"""(Z)""",1.4,0.1,1.1,-,0.8,-,1,2018
Ohio,12000,14000,4500,32,300,580,4,39.6,10,6.5,3.2,15.8,11.6,1,2018
Oklahoma,17000,18000,3700,21,890,240,1,24.1,8.5,3.2,0.1,3.1,2,1,2018
Oregon,81000,89000,4800,5,16500,3900,4,36,0.7,1.2,6.7,3.7,1,1,2018
Pennsylvania,14500,15000,3300,22,1200,670,4,34.4,5.6,3.3,9.3,5.9,9.9,1,2018
South Carolina,13500,14500,1800,12,1900,2800,19,29.3,15.5,0.7,2.6,13.5,3,1,2018
South Dakota,23000,29000,390,1,250,90,"""(Z)""",4.4,0.1,"""(Z)""","""(Z)""",0.5,0.1,1,2018
Tennessee,10000,10000,3400,34,540,470,5,29.2,20.4,2.3,3,13.2,19.7,1,2018
Texas,205000,290000,32000,11,124000,42000,14,21.5,10.1,4.8,0.2,1.7,10.3,1,2018
Utah,7500,17000,620,4,490,50,"""(Z)""",18.7,-,0.1,-,0.1,0.5,1,2018
Vermont,5500,5500,810,15,20,-,-,17,1.2,0.3,0.6,2,0.8,1,2018
Virginia,7000,7000,2100,30,540,160,2,26,11.3,0.3,3.9,7.7,16.3,1,2018
Washington,44000,90000,4600,5,7000,870,1,8.5,0.9,1,1.9,0.4,0.4,1,2018
West Virginia,4700,8500,2500,29,330,60,1,15,8,2,3.4,20.8,4.9,1,2018
Wisconsin,21000,29000,4600,16,2800,1600,6,14.1,3.7,1.2,1.5,3.6,3.7,1,2018
Wyoming,5500,9000,220,2,70,-,-,0.8,0.3,0.1,-,1.9,0.9,1,2018
Other States ,3820,7020,1870,27,160,40,1,20.7,0.4,0.1,-,1.9,1.1,1,2018
United States,2635220,"""(X)""",438030,17,511320,289200,11,40.7,12.7,4.3,10.3,8.7,7.1,1,2018
